Date,Open,High,Low,Close,Volume,Market Cap
"Nov 28, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 83,17,540.00","$ 26,48,79,641.00"
"Nov 27, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 61,85,790.00","$ 22,28,59,152.00"
"Nov 26, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 76,70,430.00","$ 22,71,38,163.00"
"Nov 25, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 54,30,930.00","$ 23,21,85,059.00"
"Nov 24, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 95,85,960.00","$ 21,38,28,665.00"
"Nov 23, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 2,61,26,500.00","$ 21,18,63,702.00"
"Nov 22, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,88,41,700.00","$ 20,42,37,210.00"
"Nov 21, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 30,47,660.00","$ 15,56,05,422.00"
"Nov 20, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 21,41,360.00","$ 15,60,86,761.00"
"Nov 19, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 14,31,720.00","$ 15,41,27,620.00"
"Nov 18, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 16,48,260.00","$ 15,37,33,392.00"
"Nov 17, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 27,87,480.00","$ 14,70,31,148.00"
"Nov 16, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 34,23,010.00","$ 15,56,43,098.00"
"Nov 15, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 28,40,180.00","$ 14,98,52,218.00"
"Nov 14, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 26,60,340.00","$ 13,25,49,462.00"
"Nov 13, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 24,81,270.00","$ 13,55,34,682.00"
"Nov 12, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 32,88,960.00","$ 11,61,47,795.00"
