Date,Open,High,Low,Close,Volume,Market Cap
"Feb 16, 2020","$ 9,889.18","$ 10,053.97","$ 9,722.39","$ 9,934.43","$ 43,37,47,80,305.00","$ 1,81,01,76,65,264.00"
"Feb 15, 2020","$ 10,313.86","$ 10,341.56","$ 9,874.43","$ 9,889.42","$ 43,86,50,54,831.00","$ 1,80,17,99,96,219.00"
"Feb 14, 2020","$ 10,211.55","$ 10,322.00","$ 10,125.53","$ 10,312.12","$ 43,33,82,64,162.00","$ 1,87,86,26,45,449.00"
"Feb 13, 2020","$ 10,323.96","$ 10,457.63","$ 10,116.16","$ 10,214.38","$ 49,35,60,71,373.00","$ 1,86,06,50,03,526.00"
"Feb 12, 2020","$ 10,202.39","$ 10,393.61","$ 10,202.39","$ 10,326.05","$ 43,44,43,03,830.00","$ 1,88,08,12,04,386.00"
"Feb 11, 2020","$ 9,855.89","$ 10,210.05","$ 9,729.33","$ 10,208.24","$ 37,64,80,59,389.00","$ 1,85,91,71,14,989.00"
"Feb 10, 2020","$ 10,115.56","$ 10,165.77","$ 9,784.56","$ 9,856.61","$ 39,38,65,48,075.00","$ 1,79,49,48,09,266.00"
"Feb 09, 2020","$ 9,863.89","$ 10,129.44","$ 9,850.39","$ 10,116.67","$ 35,80,78,84,663.00","$ 1,84,21,47,65,394.00"
"Feb 08, 2020","$ 9,793.07","$ 9,876.75","$ 9,678.91","$ 9,865.12","$ 35,17,20,43,762.00","$ 1,79,61,58,28,322.00"
"Feb 07, 2020","$ 9,726.00","$ 9,834.72","$ 9,726.00","$ 9,795.94","$ 34,52,27,18,159.00","$ 1,78,33,94,37,206.00"
"Feb 06, 2020","$ 9,617.82","$ 9,824.62","$ 9,539.82","$ 9,729.80","$ 37,62,88,23,716.00","$ 1,77,11,82,74,394.00"
"Feb 05, 2020","$ 9,183.42","$ 9,701.30","$ 9,163.70","$ 9,613.42","$ 35,22,20,60,874.00","$ 1,74,98,34,23,933.00"
"Feb 04, 2020","$ 9,292.84","$ 9,331.27","$ 9,112.81","$ 9,180.96","$ 29,89,31,83,716.00","$ 1,67,09,36,36,162.00"
"Feb 03, 2020","$ 9,344.68","$ 9,540.37","$ 9,248.63","$ 9,293.52","$ 30,93,40,96,509.00","$ 1,69,12,68,61,034.00"
"Feb 02, 2020","$ 9,389.82","$ 9,468.80","$ 9,217.82","$ 9,344.37","$ 30,83,57,36,946.00","$ 1,70,03,49,76,662.00"
"Feb 01, 2020","$ 9,346.36","$ 9,439.32","$ 9,313.24","$ 9,392.88","$ 25,92,26,56,496.00","$ 1,70,90,06,62,180.00"
"Jan 31, 2020","$ 9,508.31","$ 9,521.71","$ 9,230.78","$ 9,350.53","$ 29,43,24,89,719.00","$ 1,70,11,27,78,161.00"
"Jan 30, 2020","$ 9,316.02","$ 9,553.13","$ 9,230.90","$ 9,508.99","$ 32,37,87,92,851.00","$ 1,72,97,85,77,931.00"
"Jan 29, 2020","$ 9,357.47","$ 9,406.43","$ 9,269.47","$ 9,316.63","$ 30,68,25,98,115.00","$ 1,69,46,09,84,603.00"
"Jan 28, 2020","$ 8,912.52","$ 9,358.59","$ 8,908.45","$ 9,358.59","$ 34,39,87,44,403.00","$ 1,70,20,56,17,955.00"
"Jan 27, 2020","$ 8,597.31","$ 8,977.73","$ 8,597.31","$ 8,909.82","$ 28,64,73,38,393.00","$ 1,62,02,79,57,435.00"
"Jan 26, 2020","$ 8,364.41","$ 8,602.40","$ 8,325.50","$ 8,596.83","$ 22,17,76,78,796.00","$ 1,56,32,21,74,637.00"
"Jan 25, 2020","$ 8,440.12","$ 8,458.45","$ 8,296.22","$ 8,367.85","$ 19,64,73,31,549.00","$ 1,52,14,32,62,650.00"
"Jan 24, 2020","$ 8,405.57","$ 8,514.67","$ 8,266.84","$ 8,445.43","$ 24,39,79,13,026.00","$ 1,53,53,68,29,768.00"
"Jan 23, 2020","$ 8,680.65","$ 8,687.75","$ 8,333.64","$ 8,406.52","$ 25,77,06,80,779.00","$ 1,52,81,33,29,633.00"
"Jan 22, 2020","$ 8,744.21","$ 8,792.99","$ 8,636.75","$ 8,680.88","$ 22,60,02,04,051.00","$ 1,57,78,32,73,070.00"
"Jan 21, 2020","$ 8,658.99","$ 8,755.71","$ 8,544.52","$ 8,745.89","$ 24,09,74,18,512.00","$ 1,58,94,79,96,834.00"
"Jan 20, 2020","$ 8,704.63","$ 8,745.59","$ 8,560.47","$ 8,657.64","$ 26,42,23,75,678.00","$ 1,57,32,75,53,259.00"
"Jan 19, 2020","$ 8,941.45","$ 9,164.36","$ 8,620.08","$ 8,706.25","$ 34,21,73,20,471.00","$ 1,58,19,43,19,735.00"
"Jan 18, 2020","$ 8,927.21","$ 9,012.20","$ 8,827.33","$ 8,942.81","$ 32,33,77,72,627.00","$ 1,62,47,59,65,880.00"
"Jan 17, 2020","$ 8,725.21","$ 8,958.12","$ 8,677.32","$ 8,929.04","$ 36,37,21,39,320.00","$ 1,62,21,11,48,778.00"
"Jan 16, 2020","$ 8,812.48","$ 8,846.46","$ 8,612.10","$ 8,723.79","$ 31,31,39,81,931.00","$ 1,58,46,50,55,984.00"
"Jan 15, 2020","$ 8,825.34","$ 8,890.12","$ 8,657.19","$ 8,807.01","$ 40,10,28,34,650.00","$ 1,59,95,91,91,212.00"
"Jan 14, 2020","$ 8,140.93","$ 8,879.51","$ 8,140.93","$ 8,827.76","$ 44,84,17,84,107.00","$ 1,60,31,94,84,883.00"
"Jan 13, 2020","$ 8,189.77","$ 8,197.79","$ 8,079.70","$ 8,144.19","$ 22,48,29,10,688.00","$ 1,47,89,05,25,973.00"
"Jan 12, 2020","$ 8,033.26","$ 8,200.06","$ 8,009.06","$ 8,192.49","$ 22,90,34,38,381.00","$ 1,48,75,29,56,966.00"
"Jan 11, 2020","$ 8,162.19","$ 8,218.36","$ 8,029.64","$ 8,037.54","$ 25,52,11,65,085.00","$ 1,45,92,41,99,942.00"
"Jan 10, 2020","$ 7,878.31","$ 8,166.55","$ 7,726.77","$ 8,166.55","$ 28,71,45,83,844.00","$ 1,48,24,99,07,277.00"
"Jan 09, 2020","$ 8,082.30","$ 8,082.30","$ 7,842.40","$ 7,879.07","$ 24,04,59,90,466.00","$ 1,43,01,65,72,819.00"
